token	score	savings	qwen_tokens
§§§§§§§§§§§§§§§§	-13.500726699829102	15	Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§ Â§
şşşşşşşşşşşşşşşş	-13.380790710449219	15	ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ ÅŁ
məsləhətləşmələr	-12.037949562072754	13	m ÉĻ sl ÉĻ h ÉĻ tl ÉĻ ÅŁ m ÉĻ l ÉĻ r
zədələnməsindən	-13.189440727233887	11	z ÉĻ d ÉĻ l ÉĻ nm ÉĻ s ind ÉĻ n
məntəqələrindən	-12.745336532592773	11	m ÉĻ nt ÉĻ q ÉĻ l ÉĻ r ind ÉĻ n
hərəkətlərindən	-12.591633796691895	11	h ÉĻ r ÉĻ k ÉĻ tl ÉĻ r ind ÉĻ n
təəccübləndilər	-13.500432014465332	10	t ÉĻ ÉĻ cc Ã¼ bl ÉĻ nd il ÉĻ r
qəsəbələrində	-13.349358558654785	10	q ÉĻ s ÉĻ b ÉĻ l ÉĻ r ind ÉĻ
məhəllələrində	-13.337080001831055	10	m ÉĻ h ÉĻ ll ÉĻ l ÉĻ r ind ÉĻ
təmsilçilərindən	-13.329244613647461	10	t ÉĻ ms il Ã§ il ÉĻ r ind ÉĻ n
əlaqələndirirlər	-13.291057586669922	10	ÉĻ la q ÉĻ l ÉĻ nd ir irl ÉĻ r
tənzimlənməsində	-13.23066520690918	10	t ÉĻ nz im l ÉĻ nm ÉĻ s ind ÉĻ
nəticələnəcək	-13.224176406860352	10	n ÉĻ tic ÉĻ l ÉĻ n ÉĻ c ÉĻ k
dəstəkləyəcək	-13.06917667388916	10	d ÉĻ st ÉĻ kl ÉĻ y ÉĻ c ÉĻ k
təcrübələrindən	-13.014662742614746	10	t ÉĻ cr Ã¼b ÉĻ l ÉĻ r ind ÉĻ n
qiymətləndirərək	-12.96076488494873	10	qi ym ÉĻ tl ÉĻ nd ir ÉĻ r ÉĻ k
Məktəbəqədər	-12.834918975830078	10	M ÉĻ kt ÉĻ b ÉĻ q ÉĻ d ÉĻ r
məhkəmələrində	-12.832616806030273	10	m ÉĻ hk ÉĻ m ÉĻ l ÉĻ r ind ÉĻ
şəbəkələrində	-12.539172172546387	10	ÅŁ ÉĻ b ÉĻ k ÉĻ l ÉĻ r ind ÉĻ
müstəmləkəçilər	-12.495832443237305	10	mÃ¼ st ÉĻ ml ÉĻ k ÉĻ Ã§ il ÉĻ r
məğlubiyyətindən	-12.419795989990234	10	m ÉĻ ÄŁ l ubi yy ÉĻ t ind ÉĻ n
məsələlərində	-12.213661193847656	10	m ÉĻ s ÉĻ l ÉĻ l ÉĻ r ind ÉĻ
vəzifələrindən	-12.153036117553711	10	v ÉĻ z if ÉĻ l ÉĻ r ind ÉĻ n
maliyyələşdirmək	-12.115488052368164	10	m ali yy ÉĻ l ÉĻ ÅŁ d irm ÉĻ k
məsələlərdən	-12.104545593261719	10	m ÉĻ s ÉĻ l ÉĻ l ÉĻ rd ÉĻ n
təhlükəsizliyinə	-11.893390655517578	10	t ÉĻ hl Ã¼k ÉĻ s iz li y in ÉĻ
məktəbəqədər	-11.872928619384766	10	m ÉĻ kt ÉĻ b ÉĻ q ÉĻ d ÉĻ r
mərhələlərində	-11.620734214782715	10	m ÉĻ rh ÉĻ l ÉĻ l ÉĻ r ind ÉĻ
məsləhətləşmə	-11.558937072753906	10	m ÉĻ sl ÉĻ h ÉĻ tl ÉĻ ÅŁ m ÉĻ
müəyyənləşdirmək	-11.40188980102539	10	mÃ¼ ÉĻ yy ÉĻ nl ÉĻ ÅŁ d irm ÉĻ k
məntəqələrində	-11.32832145690918	10	m ÉĻ nt ÉĻ q ÉĻ l ÉĻ r ind ÉĻ
dəyərləndirilir	-13.51402473449707	9	d ÉĻ y ÉĻ rl ÉĻ nd ir il ir
mikroorqanizmlər	-13.510258674621582	9	m ik ro or q an iz ml ÉĻ r
gərginləşməsi	-13.495247840881348	9	g ÉĻ rg in l ÉĻ ÅŁ m ÉĻ si
müstəmləkəçiliyi	-13.488187789916992	9	mÃ¼ st ÉĻ ml ÉĻ k ÉĻ Ã§ ili yi
məqsədəuyğundur	-13.393533706665039	9	m ÉĻ qs ÉĻ d ÉĻ uy ÄŁ und ur
qəsəbələrdə	-13.37028980255127	9	q ÉĻ s ÉĻ b ÉĻ l ÉĻ rd ÉĻ
irəliləyərək	-13.291417121887207	9	ir ÉĻ l il ÉĻ y ÉĻ r ÉĻ k
məhəlləsindəki	-13.28821849822998	9	m ÉĻ h ÉĻ ll ÉĻ s ind ÉĻ ki
hərəkətsizliyi	-13.279102325439453	9	h ÉĻ r ÉĻ k ÉĻ ts iz li yi
